代码,名称,日期,收盘价(元)
000188.SH,中国波指,2015/2/10,28.75
000188.SH,中国波指,2015/2/11,26.44
000188.SH,中国波指,2015/2/12,25.8
000188.SH,中国波指,2015/2/13,23.41
000188.SH,中国波指,2015/2/16,23.71
000188.SH,中国波指,2015/2/17,24.3
000188.SH,中国波指,2015/2/25,26.33
000188.SH,中国波指,2015/2/26,26.1
000188.SH,中国波指,2015/2/27,27.04
000188.SH,中国波指,2015/3/2,28.05
000188.SH,中国波指,2015/3/3,28.45
000188.SH,中国波指,2015/3/4,27.68
000188.SH,中国波指,2015/3/5,26.67
000188.SH,中国波指,2015/3/6,26.47
000188.SH,中国波指,2015/3/9,27.22
000188.SH,中国波指,2015/3/10,26.22
000188.SH,中国波指,2015/3/11,25.86
000188.SH,中国波指,2015/3/12,25.93
000188.SH,中国波指,2015/3/13,25.01
000188.SH,中国波指,2015/3/16,25.14
000188.SH,中国波指,2015/3/17,25.25
000188.SH,中国波指,2015/3/18,25.14
000188.SH,中国波指,2015/3/19,27.3
000188.SH,中国波指,2015/3/20,26.47
000188.SH,中国波指,2015/3/23,28.76
000188.SH,中国波指,2015/3/24,30.67
000188.SH,中国波指,2015/3/25,30.16
000188.SH,中国波指,2015/3/26,29.06
000188.SH,中国波指,2015/3/27,29.28
000188.SH,中国波指,2015/3/30,27.87
000188.SH,中国波指,2015/3/31,30.09
000188.SH,中国波指,2015/4/1,30.36
000188.SH,中国波指,2015/4/2,31.77
000188.SH,中国波指,2015/4/3,31.17
000188.SH,中国波指,2015/4/7,29.51
000188.SH,中国波指,2015/4/8,31.98
000188.SH,中国波指,2015/4/9,35.06
000188.SH,中国波指,2015/4/10,33.41
000188.SH,中国波指,2015/4/13,36.86
000188.SH,中国波指,2015/4/14,40.15
000188.SH,中国波指,2015/4/15,40.13
000188.SH,中国波指,2015/4/16,37.36
000188.SH,中国波指,2015/4/17,41.57
000188.SH,中国波指,2015/4/20,47.75
000188.SH,中国波指,2015/4/21,46.9
000188.SH,中国波指,2015/4/22,44.28
000188.SH,中国波指,2015/4/23,44.72
000188.SH,中国波指,2015/4/24,45.65
000188.SH,中国波指,2015/4/27,44.88
000188.SH,中国波指,2015/4/28,46.59
000188.SH,中国波指,2015/4/29,46.61
000188.SH,中国波指,2015/4/30,46.55
000188.SH,中国波指,2015/5/4,46.13
000188.SH,中国波指,2015/5/5,45.46
000188.SH,中国波指,2015/5/6,45.55
000188.SH,中国波指,2015/5/7,46.78
000188.SH,中国波指,2015/5/8,44.97
000188.SH,中国波指,2015/5/11,45.78
000188.SH,中国波指,2015/5/12,45.97
000188.SH,中国波指,2015/5/13,46.03
000188.SH,中国波指,2015/5/14,44.96
000188.SH,中国波指,2015/5/15,41.44
000188.SH,中国波指,2015/5/18,37.48
000188.SH,中国波指,2015/5/19,37.28
000188.SH,中国波指,2015/5/20,41.52
000188.SH,中国波指,2015/5/21,42.05
000188.SH,中国波指,2015/5/22,43.01
000188.SH,中国波指,2015/5/25,45.8
000188.SH,中国波指,2015/5/26,45.81
000188.SH,中国波指,2015/5/27,46.91
000188.SH,中国波指,2015/5/28,46.63
000188.SH,中国波指,2015/5/29,47.29
000188.SH,中国波指,2015/6/1,47.22
000188.SH,中国波指,2015/6/2,47.61
000188.SH,中国波指,2015/6/3,47.9
000188.SH,中国波指,2015/6/4,46.57
000188.SH,中国波指,2015/6/5,46.6
000188.SH,中国波指,2015/6/8,43.66
000188.SH,中国波指,2015/6/9,47.55
000188.SH,中国波指,2015/6/10,48.07
000188.SH,中国波指,2015/6/11,49.74
000188.SH,中国波指,2015/6/12,49.76
000188.SH,中国波指,2015/6/15,48.06
000188.SH,中国波指,2015/6/16,47.27
000188.SH,中国波指,2015/6/17,47.31
000188.SH,中国波指,2015/6/18,47.08
000188.SH,中国波指,2015/6/19,46.9
000188.SH,中国波指,2015/6/23,51.17
000188.SH,中国波指,2015/6/24,52.05
000188.SH,中国波指,2015/6/25,47.42
000188.SH,中国波指,2015/6/26,48.08
000188.SH,中国波指,2015/6/29,60.09
000188.SH,中国波指,2015/6/30,59.21
000188.SH,中国波指,2015/7/1,55.91
000188.SH,中国波指,2015/7/2,57.54
000188.SH,中国波指,2015/7/3,55.15
000188.SH,中国波指,2015/7/6,60.08
000188.SH,中国波指,2015/7/7,54.84
000188.SH,中国波指,2015/7/8,51.7
000188.SH,中国波指,2015/7/9,55.34
000188.SH,中国波指,2015/7/10,54.02
000188.SH,中国波指,2015/7/13,52.96
000188.SH,中国波指,2015/7/14,49.31
000188.SH,中国波指,2015/7/15,45.06
000188.SH,中国波指,2015/7/16,41.63
000188.SH,中国波指,2015/7/17,39.33
000188.SH,中国波指,2015/7/20,38.73
000188.SH,中国波指,2015/7/21,38.79
000188.SH,中国波指,2015/7/22,35.26
000188.SH,中国波指,2015/7/23,32.98
000188.SH,中国波指,2015/7/24,33.09
000188.SH,中国波指,2015/7/27,30.41
000188.SH,中国波指,2015/7/28,39.52
000188.SH,中国波指,2015/7/29,41.79
000188.SH,中国波指,2015/7/30,37.43
000188.SH,中国波指,2015/7/31,40.17
000188.SH,中国波指,2015/8/3,40.45
000188.SH,中国波指,2015/8/4,40.02
000188.SH,中国波指,2015/8/5,40.26
000188.SH,中国波指,2015/8/6,41.51
000188.SH,中国波指,2015/8/7,40.79
000188.SH,中国波指,2015/8/10,40.75
000188.SH,中国波指,2015/8/11,40.18
000188.SH,中国波指,2015/8/12,39.83
000188.SH,中国波指,2015/8/13,39.61
000188.SH,中国波指,2015/8/14,39.65
000188.SH,中国波指,2015/8/17,40.06
000188.SH,中国波指,2015/8/18,39.07
000188.SH,中国波指,2015/8/19,37.42
000188.SH,中国波指,2015/8/20,38.03
000188.SH,中国波指,2015/8/21,35.2
000188.SH,中国波指,2015/8/24,35.61
000188.SH,中国波指,2015/8/25,48.34
000188.SH,中国波指,2015/8/26,63.79
000188.SH,中国波指,2015/8/27,61.14
